Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Mercedes-Benz,12,E-Class,65,2014,10,80000.0,0,1,1,1395000
Maruti Suzuki,2,Wagon-R,32,2014,10,92000.0,1,0,2,295000
Maruti Suzuki,2,Wagon-R,32,2014,10,79000.0,1,1,2,325000
Mitsubishi,23,Pajero Sport,129,2015,9,80000.0,0,1,1,1340000
Mahindra,13,Scorpio,102,2020,4,153058.0,1,0,1,995000
Tata,14,Nexon,45,2020,4,69000.0,1,0,2,675000
Hyundai,6,Verna,26,2019,5,44500.0,0,1,2,820000
Volkswagen,1,Polo,25,2019,5,40000.0,1,0,0,765000
Toyota,5,Innova,20,2015,9,111000.0,1,1,1,750000
Renault,9,Triber,124,2021,3,70000.0,1,0,0,615000
Chevrolet,16,Cruze,69,2017,7,64000.0,0,1,1,585000
Honda,0,Amaze,70,2019,5,42000.0,1,1,2,555000
Maruti Suzuki,2,Celerio,18,2015,9,60000.0,0,1,2,325000
Honda,0,Jazz,71,2021,3,31000.0,0,1,0,840000
Tata,14,Tiago,86,2023,1,27000.0,0,0,2,670000
Maruti Suzuki,2,Ertiga,12,2020,4,120000.0,1,1,2,875000
Tata,14,Harrier,55,2021,3,47000.0,0,0,1,1175000
Honda,0,Mobilio,158,2014,10,90000.0,1,1,1,515000
Hyundai,6,Grand i10 Nios,61,2021,3,55000.0,1,0,2,621000
Renault,9,Triber,124,2021,3,40000.0,0,0,0,625000
Toyota,5,Innova Crysta,14,2018,6,133000.0,0,0,1,1650000
Maruti Suzuki,2,Wagon-R,32,2020,4,80000.0,0,0,2,560000
Hyundai,6,Grand i10,41,2014,10,70000.0,0,0,0,390000
Hyundai,6,Verna,26,2016,8,65000.0,0,0,0,695000
Toyota,5,Corolla,9,2007,17,80000.0,0,0,2,165000
Maruti Suzuki,2,Alto-800,62,2013,11,80000.0,1,0,2,245000
Tata,14,Nano,141,2016,8,80000.0,1,1,0,125000
Mercedes-Benz,12,GLA,286,2019,5,33500.0,0,0,1,1850000
Honda,0,City,0,2010,14,96000.0,0,1,2,275000
Maruti Suzuki,2,Swift-Dzire,8,2012,12,74000.0,1,0,0,320000
Hyundai,6,Elite i20,104,2014,10,107000.0,1,1,1,400000
Ssangyong,32,Rexton,290,2013,11,85000.0,0,1,1,575000
Maruti Suzuki,2,Vitara-Brezza,19,2019,5,98250.0,1,1,1,550000
Honda,0,Amaze,70,2021,3,69052.0,1,1,0,577000
Renault,9,Triber,124,2020,4,69000.0,1,1,2,475000
Maruti Suzuki,2,Alto-K10,7,2018,6,70150.0,0,1,2,281111
Hyundai,6,Creta,22,2023,1,21000.0,0,0,0,1699999
Toyota,5,Fortuner,48,2010,14,140000.0,1,1,1,773000
Tata,14,Tiago,86,2022,2,65000.0,0,0,2,498000
Maruti Suzuki,2,Omni,68,2010,14,80000.0,1,1,2,125000
Maruti Suzuki,2,Eeco,57,2020,4,62000.0,1,0,2,410000
Maruti Suzuki,2,Swift,2,2011,13,90401.0,1,1,0,330000
Kia,7,Sonet,44,2023,1,20600.0,1,0,1,1250000
Maruti Suzuki,2,Alto,75,2012,12,128835.0,1,0,0,155000
Honda,0,WRV,54,2018,6,83000.0,1,0,0,670000
Volkswagen,1,Polo,25,2016,8,152000.0,1,1,1,499999
Hyundai,6,i20,24,2011,13,100000.0,1,1,1,295000
Hyundai,6,i10,37,2011,13,56000.0,1,0,0,175000
Hyundai,6,Xcent,10,2016,8,59000.0,0,1,0,279000
Volkswagen,1,Tiguan,89,2017,7,68000.0,0,0,1,1499999
Fiat,20,Grand Punto,251,2012,12,90000.0,1,1,0,135000
Mahindra,13,Scorpio,102,2017,7,78197.0,1,0,1,950000
Toyota,5,Corolla Altis,128,2009,15,75000.0,0,1,2,450000
Chevrolet,16,Cruze,69,2010,14,75000.0,1,1,1,290000
Mahindra,13,Bolero Neo,113,2021,3,65000.0,1,1,1,875000
Tata,14,Indica Vista,151,2011,13,48000.0,1,1,1,95000
Hyundai,6,i20,24,2023,1,22000.0,1,0,0,775000
Maruti Suzuki,2,Ertiga,12,2022,2,80000.0,0,1,2,1125000
Mahindra,13,Thar,50,2020,4,76108.0,0,0,1,1345000
Hyundai,6,Aura,215,2021,3,89500.0,0,1,2,551521
Maruti Suzuki,2,S-Cross1,171,2018,6,90000.0,1,0,1,525000
Maruti Suzuki,2,Wagon-R,32,2014,10,106000.0,1,1,2,280000
Hyundai,6,Verna,26,2018,6,70000.0,0,0,1,949999
Mahindra,13,Thar,50,2022,2,7000.0,0,0,1,1620000
Hyundai,6,Grand i10,41,2018,6,10000.0,1,1,0,421000
Maruti Suzuki,2,Alto-800,62,2016,8,86000.0,1,0,2,230000
Hyundai,6,i10,37,2011,13,65000.0,1,0,2,240000
Maruti Suzuki,2,Baleno,3,2021,3,22000.0,1,0,0,660000
Volkswagen,1,Ameo,122,2018,6,85400.0,0,0,1,470000
Tata,14,Tiago,86,2017,7,82010.0,1,1,2,370000
Jeep,15,Compass,67,2019,5,59000.0,0,1,0,1350000
Maruti Suzuki,2,Ertiga,12,2014,10,75666.0,1,1,2,590000
Maruti Suzuki,2,Wagon-R,32,2020,4,63000.0,1,1,2,475000
Mahindra,13,KUV 100,112,2016,8,107000.0,1,0,1,420000
Maruti Suzuki,2,Eeco,57,2021,3,37000.0,0,0,2,430000
Maruti Suzuki,2,Ertiga,12,2022,2,88392.0,1,1,2,920000
Maruti Suzuki,2,Swift,2,2018,6,91000.0,0,0,1,660000
Maruti Suzuki,2,Celerio,18,2015,9,114000.0,0,1,0,375000
Mercedes-Benz,12,C-Class,29,2011,13,68000.0,0,1,0,900000
Maruti Suzuki,2,Wagon-R-1-0,211,2012,12,84000.0,1,0,2,270000
Toyota,5,Fortuner,48,2014,10,90220.0,0,0,1,1099999
Maruti Suzuki,2,Alto,75,2011,13,106000.0,0,0,2,160000
Volkswagen,1,Jetta,184,2013,11,69000.0,1,1,1,310000
Mercedes-Benz,12,E-Class,65,2013,11,68000.0,0,1,0,1275000
Volkswagen,1,Polo,25,2015,9,40200.0,1,0,0,499000
Hyundai,6,Creta,22,2016,8,90500.0,0,0,1,799999
Maruti Suzuki,2,Swift,2,2008,16,86000.0,1,1,2,145000
Maruti Suzuki,2,Baleno,3,2018,6,67000.0,0,1,0,525000
Maruti Suzuki,2,Ciaz,58,2016,8,67000.0,1,0,0,449000
Ford,4,Ecosport,6,2019,5,40860.0,0,0,2,775000
