Brand,brand_number,model,model_number,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Renault,9,KWID,16,2017,7,30000.0,0,1,0,375000
Maruti Suzuki,2,XL6,120,2024,0,11000.0,0,0,2,1324999
Audi,8,A6,93,2015,9,93000.0,0,0,1,1090000
Hyundai,6,Grand i10 Nios,61,2019,5,59284.0,0,1,0,533000
Maruti Suzuki,2,Wagon-R-Stingray,278,2017,7,55000.0,1,0,2,350000
Skoda,11,Superb,154,2017,7,85000.0,0,0,0,1675000
Hyundai,6,i10,37,2010,14,62000.0,0,1,2,255000
Hyundai,6,Creta,22,2021,3,56000.0,1,1,1,1590000
Renault,9,KWID,16,2018,6,70000.0,0,1,0,325000
Honda,0,Jazz,71,2016,8,36000.0,0,1,0,625000
Hyundai,6,Venue,21,2022,2,45000.0,1,0,0,760000
Maruti Suzuki,2,Swift-Dzire,8,2017,7,115000.0,1,1,2,330000
Skoda,11,Slavia,172,2022,2,48000.0,1,0,0,1350000
Hyundai,6,i20,24,2022,2,45000.0,1,0,0,725000
Toyota,5,Urban Cruiser Hyryder,237,2022,2,28000.0,0,0,2,2095000
Maruti Suzuki,2,Eeco,57,2014,10,79000.0,1,1,2,285000
Tata,14,Harrier,55,2022,2,14000.0,0,0,1,1780000
